image_name;manual_count;script_own;script_simple;script_watershed 1;script_own_sparse;script_SarDist;YOLO_count
img_01;60;54;47;58;58;64;
img_02;77;59;57;80;80;83;
img_03;54;37;28;49;49;56;
img_04;42;38;34;42;42;45;
img_05;73;49;45;52;52;73;
img_06;72;50;48;58;58;71;
img_07;55;42;37;46;46;55;
img_08;81;70;71;82;82;83;
img_09;70;64;60;73;73;75;
img_10;34;31;27;32;32;37;
img_11;61;41;39;48;48;62;
img_12;68;58;51;63;63;70;
img_13;58;35;33;43;43;51;
img_14;80;48;45;58;58;74;
img_15;80;70;71;82;82;83;
